step,straight_sortedCarList,straight_sortedCarList_hat,straight_queueLength,straight_queueLength_hat,straight_totalWaitingTime,straight_totalWaitingTime_hat,straight_avgSpeed,straight_avgSpeed_hat,straight_avgGapSpace,straight_avgGapSpace_hat,right_sortedCarList,right_sortedCarList_hat,right_queueLength,right_queueLength_hat,right_totalWaitingTime,right_totalWaitingTime_hat,right_avgSpeed,right_avgSpeed_hat,right_avgGapSpace,right_avgGapSpace_hat
97.0,4,0,9.503096159107898,0,82.0,0,1.4967974073986041,0,8.67114068645754,0,7,0,11.505019068342918,0,189.0,0,4.666860982177746,0,17.077634305106738,0
98.0,4,0,9.503096159107898,0,85.0,0,0.9287424067366191,0,7.742398279720923,0,7,0,11.505019068342918,0,194.0,0,3.5008909772881203,0,13.349697593860995,0
99.0,5,0,9.503096159107898,0,88.0,0,14.10440741997721,0,7.659341156119538,0,7,0,11.505019068342918,0,199.0,0,1.6675576439547868,0,11.657827221461776,0
100.0,5,0,9.503096159107898,0,91.0,0,11.899705108098706,0,7.580986344396656,0,7,0,11.505019068342918,0,204.0,0,0.9746554094447195,0,10.645645526833581,0
101.0,5,0,17.157647021763665,0,95.0,0,13.384717501630766,0,7.577823510881828,0,7,0,19.142887227324536,0,210.0,0,0.24180924526711112,0,10.400622746214882,0
102.0,5,0,9.503096159107898,0,97.0,0,13.68767454167619,0,7.519603616208862,0,7,0,11.505019068342918,0,214.0,0,0.1905986693507839,0,10.201118595081585,0
103.0,6,0,17.01372195592502,0,101.0,0,30.018201662597548,0,7.505860977962506,0,7,0,19.006583138837613,0,220.0,0,0.23720304231639205,0,9.962525650422364,0
104.0,6,0,17.006375873539255,0,105.0,0,30.257137460415425,0,7.502187936769623,0,7,0,19.006583138837613,0,226.0,0,0.05608031338622024,0,9.906445337036146,0
105.0,7,0,17.004639619287076,0,109.0,0,32.92876111471816,0,44.67849890787147,0,8,0,26.517010453450695,0,233.0,0,6.235514184267327,0,56.64637818645872,0
106.0,7,0,17.004271845016177,0,113.0,0,32.23075037860046,0,38.9218562827298,0,8,0,26.510393750043534,0,240.0,0,7.19120139840117,0,49.45517678805754,0
107.0,6,0,17.004271845016177,0,117.0,0,19.22078065000667,0,32.930077754414505,0,8,0,26.50749647309395,0,247.0,0,7.257989355208093,0,42.19718743284945,0
108.0,6,0,17.004271845016177,0,121.0,0,19.4259940170586,0,26.739204044490414,0,8,0,26.50749647309395,0,254.0,0,6.233865385865741,0,35.963322046983706,0
109.0,6,0,17.00413280608025,0,125.0,0,18.663697963328183,0,21.546796486142302,0,8,0,26.50739100385894,0,261.0,0,5.589222328365003,0,30.374099718618705,0
110.0,6,0,17.00413280608025,0,129.0,0,13.316167923103304,0,17.41312907430838,0,8,0,26.50709318656112,0,268.0,0,4.489318502396407,0,25.884781216222297,0
111.0,6,0,17.00413280608025,0,133.0,0,12.791675720955153,0,14.339266399850713,0,8,0,26.50709318656112,0,110.0,0,4.573181050377015,0,22.048498488904315,0
112.0,6,0,17.00413280608025,0,137.0,0,13.997912578239633,0,12.311573887508768,0,6,0,26.471989126241326,0,115.0,0,3.283139260008268,0,12.372012676617096,0
113.0,6,0,17.00413280608025,0,141.0,0,11.361390257736886,0,10.920415188516046,0,6,0,17.921317808121103,0,65.0,0,5.0295749864814026,0,11.031137937599766,0
114.0,6,0,17.00413280608025,0,145.0,0,13.532712288560797,0,10.094457916778232,0,6,0,2.0020000000000095,0,56.0,0,4.919357740128458,0,9.929230340050111,0
115.0,6,0,17.00413280608025,0,149.0,0,10.896822160554919,0,9.926506437158064,0,5,0,2.0020000000000095,0,58.0,0,4.0164578324721045,0,10.513728526250496,0
116.0,6,0,17.00413280608025,0,153.0,0,10.212220482823273,0,9.884518728729027,0,4,0,2.0020000000000095,0,60.0,0,1.5611344492619352,0,3.9412357011651196,0
117.0,6,0,24.51924148977109,0,158.0,0,10.80559017946812,0,9.880859169518226,0,4,0,2.0020000000000095,0,62.0,0,4.958904387889146,0,3.839532868592336,0
118.0,6,0,24.51679584996819,0,163.0,0,9.561106315925759,0,9.879860457885671,0,3,0,2.0020000000000095,0,64.0,0,0.07046117376717195,0,3.769071694825165,0
119.0,6,0,24.506999395878765,0,168.0,0,7.214626347987616,0,9.875860480124983,0,3,0,9.518222201296254,0,67.0,0,0.010960594177043,0,3.7581111006481223,0
120.0,6,0,24.50609105570068,0,173.0,0,4.211663643350506,0,9.875489640956372,0,3,0,9.513316253815091,0,70.0,0,0.0024529737405826002,0,3.755658126907541,0
